CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,999,2023,8,23,21.3,V,19.4,V,17.3,V,17.4,V,17,V,14.8,V,15.8,V,13.9,V,14.1,V,17.6,V,11.2,V,14.3,V,12.8,V,11.5,V,16.5,V,18.9,V,16.4,V,15.7,V,16.2,V,16.6,V,18.1,V,20,V,21,V,20.1,V
08,Barcelona,019,Barcelona,043,999,2023,8,24,18.2,V,17.1,V,19,V,18.3,V,17.3,V,16.2,V,14.7,V,15.6,V,17.1,V,16.8,V,15.6,V,14.1,V,13.1,V,15.4,V,18.1,V,19.1,V,18.5,V,18.6,V,15.9,V,15.9,V,15.6,V,14.7,V,13.9,V,12.8,V
08,Barcelona,019,Barcelona,043,999,2023,8,25,,N,26.2,V,18.4,V,15.1,V,15.4,V,14.3,V,12.6,V,12.5,V,13,V,15.2,V,15.1,V,18,V,17.6,V,17,V,16.7,V,15.3,V,16.4,V,15.6,V,15.9,V,15,V,15.5,V,14,V,15.6,V,14,V
08,Barcelona,019,Barcelona,043,999,2023,8,26,16,V,13.1,V,14.2,V,14.2,V,13.2,V,15.6,V,17.9,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,999,2023,8,23,18,V,13.1,V,14.2,V,13,V,12,V,13,V,11.8,V,11.7,V,11.1,V,13.3,V,13.1,V,10.4,V,9.6,V,10.1,V,10.3,V,11.9,V,10.9,V,13.3,V,15.2,V,14.9,V,17.6,V,19.6,V,13,V,14.7,V
08,Barcelona,019,Barcelona,054,999,2023,8,24,13.6,V,14.3,V,14.3,V,13.9,V,13.7,V,15.3,V,13.8,V,9.5,V,11.3,V,10.7,V,10.2,V,8.7,V,11.6,V,16.8,V,22.4,V,19.1,V,19.2,V,17.3,V,11.3,V,11.4,V,10.3,V,8,V,9.5,V,11,V
08,Barcelona,019,Barcelona,054,999,2023,8,25,,N,12.3,V,12.7,V,11,V,12.1,V,11.5,V,11.5,V,11.2,V,8.9,V,6,V,9.5,V,11.1,V,11.6,V,14.9,V,17.6,V,17,V,16.2,V,16.7,V,12.8,V,11,V,12.2,V,10.9,V,9.7,V,9.7,V
08,Barcelona,019,Barcelona,054,999,2023,8,26,9.6,V,7.1,V,7,V,8,V,7.7,V,7.7,V,8.9,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,22,2023,8,23,2166,V,1320,V,1754,V,2612,V,3011,V,3307,V,4696,V,6845,V,5795,V,6937,V,7461,V,4334,V,2365,V,2303,V,2676,V,2194,V,2634,V,1473,V,1203,V,1468,V,1812,V,1765,V,2306,V,3829,V
08,Barcelona,019,Barcelona,043,22,2023,8,24,3815,V,4374,V,4617,V,2713,V,1907,V,2294,V,3094,V,3123,V,3946,V,3429,V,3714,V,3338,V,3501,V,2104,V,1342,V,1252,V,1192,V,1333,V,1425,V,1570,V,1309,V,1260,V,1186,V,906,V
